gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC184164.2_FG006,0.093763137,0.432298225,0.537827101,0.803786615,0.421520221,NA
AC184169.3_FG001,11.63573807,-3.297052902,0.822281128,-4.009641945,6.08E-05,0.000714998
AC184170.4_FG002,23.02837696,2.58484439,0.778061215,3.322160699,0.000893232,0.00700779
AC184171.4_FG002,0.175082673,-0.00398314,0.560380083,-0.007107926,0.994328743,NA
AC184172.3_FG001,0,NA,NA,NA,NA,NA
AC184699.3_FG005,13.35532705,0.461355645,0.95221852,0.484506061,0.628026764,0.808714274
AC184764.3_FG003,0,NA,NA,NA,NA,NA
AC184764.3_FG006,0,NA,NA,NA,NA,NA
AC184765.4_FG005,0.732221886,-0.508780602,0.74836247,-0.67985852,0.496594048,NA
AC184771.4_FG003,0,NA,NA,NA,NA,NA
AC184775.2_FG002,0,NA,NA,NA,NA,NA
AC184788.2_FG001,0.269021107,-0.126190768,0.60182179,-0.209681288,0.833916431,NA
AC184789.4_FG002,0,NA,NA,NA,NA,NA
AC184794.2_FG003,0,NA,NA,NA,NA,NA
AC184831.3_FG003,0.583578493,-0.002820919,0.61971814,-0.004551939,0.996368091,NA
AC184831.3_FG005,0.176191446,-0.004830102,0.537430749,-0.008987394,0.992829193,NA
AC184831.3_FG008,0,NA,NA,NA,NA,NA
AC184836.3_FG002,0,NA,NA,NA,NA,NA
AC184857.2_FG006,2.574262823,-2.594557345,0.912584972,-2.843085768,0.004467905,0.025698181
AC184871.2_FG009,0,NA,NA,NA,NA,NA
AC185108.3_FG006,0,NA,NA,NA,NA,NA
AC185108.3_FG010,2.14347633,0.413047849,0.944802531,0.437179024,0.661981521,0.830435381
AC185108.3_FG011,0.175257969,-0.536477822,0.551608518,-0.972569864,0.330767127,NA
AC185122.3_FG009,0,NA,NA,NA,NA,NA
AC185126.3_FG006,0.347081488,0.330821892,0.614152038,0.538664487,0.590118382,NA
AC185130.2_FG004,0.294052417,-0.003623056,0.58221077,-0.006222929,0.995034853,NA
AC185130.2_FG005,0.3156911,-0.003365928,0.598199516,-0.005626765,0.995510515,NA
AC185217.3_FG004,0.281821521,-0.664594148,0.592713564,-1.121273729,0.262171364,NA
